episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
24, 1220.3141207695007, 1, 13.1211106920382, 640, 140079,                                             140079, 8.127321243286133, 405.2161560058594
25, -1080.699131846428, 1, 26.987576860934496, 1384, 141463,                                             141463, 7.667638301849365, 405.3171081542969
26, 1039.0252435207367, 1, 17.745220598997548, 860, 142323,                                             142323, 7.886683940887451, 404.92401123046875
27, 871.3776287436485, 1, 15.766150827985257, 768, 143091,                                             143091, 8.273787498474121, 401.8148498535156
28, 1070.643968462944, 1, 15.33848154800944, 766, 143857,                                             143857, 8.000361442565918, 404.0594482421875
29, 803.4990909695625, 1, 14.739769596024416, 702, 144559,                                             144559, 7.617930889129639, 402.085205078125
30, 790.8567632585764, 1, 16.769025099929422, 812, 145371,                                             145371, 7.739541053771973, 402.7684326171875
31, 1386.0441562533379, 1, 12.424802863039076, 593, 145964,                                             145964, 8.171351432800293, 402.5831604003906
32, 1436.6130728423595, 1, 13.758123329025693, 687, 146651,                                             146651, 8.04676342010498, 399.1425476074219
33, 835.1182386875153, 1, 14.737526581040584, 727, 147378,                                             147378, 7.82766580581665, 398.9028625488281
34, 1976.373978704214, 1, 7.739865917945281, 397, 147775,                                             147775, 9.03693962097168, 403.76385498046875
35, 1182.6312348246574, 1, 16.141916779102758, 773, 148548,                                             148548, 8.303829193115234, 394.3635559082031
36, -2378.047010600567, 1, 45.63403511303477, 2276, 150824,                                             150824, 8.122673988342285, 396.71466064453125
37, 1370.0241466611624, 1, 12.725699104950763, 613, 151437,                                             151437, 8.163320541381836, 393.27392578125
38, 1558.7011495530605, 1, 13.352033164002933, 641, 152078,                                             152078, 8.792801856994629, 391.76617431640625
39, 1005.6072788834572, 1, 16.139094798942097, 815, 152893,                                             152893, 8.343408584594727, 395.9490661621094
40, 1788.8626048266888, 1, 9.741259755101055, 485, 153378,                                             153378, 8.450824737548828, 390.6634521484375
41, 812.074230670929, 1, 16.239127911045216, 824, 154202,                                             154202, 8.144838333129883, 389.8812561035156
42, 795.4147800803185, 1, 16.763683142024092, 870, 155072,                                             155072, 8.131985664367676, 389.0420227050781
43, 1477.8426991701126, 1, 13.335035550990142, 653, 155725,                                             155725, 8.791804313659668, 389.05657958984375
44, 1091.5027302503586, 1, 15.756609134026803, 769, 156494,                                             156494, 8.29830265045166, 387.778076171875
45, -57.44656813144684, 1, 23.154588952078484, 1146, 157640,                                             157640, 8.493440628051758, 387.60809326171875
46, 934.4642425179482, 1, 16.568671577028, 809, 158449,                                             158449, 7.763303279876709, 385.8810119628906
47, 1616.382557630539, 1, 12.934049980947748, 607, 159056,                                             159056, 8.162114143371582, 385.6042175292969
48, 1566.5502614974976, 1, 12.743947083945386, 608, 159664,                                             159664, 7.8046979904174805, 383.9223937988281
49, 1247.0224204063416, 1, 16.135701279970817, 779, 160443,                                             160443, 7.977754592895508, 383.8862609863281
50, 1466.945327758789, 1, 12.126647994038649, 569, 161012,                                             161012, 8.074896812438965, 380.9045104980469
51, 1432.5813474059105, 1, 13.424390811938792, 663, 161675,                                             161675, 8.135019302368164, 383.7253112792969
52, 538.8395950198174, 1, 18.96625448600389, 936, 162611,                                             162611, 8.84620189666748, 379.9523010253906
53, 869.1807116270065, 1, 16.743202506913804, 837, 163448,                                             163448, 7.92764139175415, 380.8948974609375
54, 699.5275792479515, 1, 16.970597962033935, 814, 164262,                                             164262, 8.03711223602295, 379.08526611328125
55, 792.3223131299019, 1, 18.143616009969264, 878, 165140,                                             165140, 8.820443153381348, 375.1842041015625
56, 1008.5508373230696, 1, 19.35190634301398, 921, 166061,                                             166061, 8.932454109191895, 375.58538818359375
57, 1060.216426372528, 1, 14.758872139034793, 727, 166788,                                             166788, 8.489006996154785, 374.7560729980469
